客先№ ,会社名,〒,住所１,住所２,℡,FAX,所属№,所属名,営業所№,営業所名,国№,国名,地区№,地区名,地区
70353-78,ヤマト運輸㈱淡路営業所（下加茂）止メ,656-0101,兵庫県洲本市納３１２－３,(ｾﾝﾀｰｺｰﾄﾞ:066250),0570-200-000,078-903-3067,221010,大阪支店,201,大阪,101,日本,55,兵庫,兵庫県
70353-77,ヤマト運輸㈱市島営業所止メ,669-4131,兵庫県丹波市春日町七日市５９３,(ｾﾝﾀｰｺｰﾄﾞ:066663),0570-200-000,078-903-3067,221010,大阪支店,201,大阪,101,日本,55,兵庫,兵庫県
70446-91,ヤマト運輸㈱　市島営業所止メ,669-4131,兵庫県丹波市春日町七日市５９３,(ｾﾝﾀｰｺｰﾄﾞ:066663),0570-20-0766,078-903-3067,221010,大阪支店,201,大阪,101,日本,55,兵庫,兵庫県
70545-00,ヤマト運輸㈱　神戸伊川谷営業所止メ,651-2124,兵庫県神戸市西区伊川谷町潤和１０１３－１,(ｾﾝﾀｰｺｰﾄﾞ:066671),0570-200-000,078-903-3067,221010,大阪支店,201,大阪,101,日本,55,兵庫,兵庫県
70516-30,ヤマト運輸㈱　加東営業所（滝野社）止メ,673-1431,兵庫県加東市社字防ノ下１３３９,(ｾﾝﾀｰｺｰﾄﾞ:066922),0570-200-000,079-252-8808,221010,大阪支店,201,大阪,101,日本,55,兵庫,兵庫県
70549-00,ヤマト運輸㈱　和田山営業所止メ,669-5242,兵庫県朝来市和田山町宮田５５１,(ｾﾝﾀｰｺｰﾄﾞ:067080),0570-200-000,079-252-8808,221010,大阪支店,201,大阪,101,日本,55,兵庫,兵庫県
70516-32,ヤマト運輸㈱　山崎営業所（宍粟南）止メ,671-2573,兵庫県宍粟市山崎町今宿２４９－１,(ｾﾝﾀｰｺｰﾄﾞ:067140),0570-200-000,079-252-8808,221010,大阪支店,201,大阪,101,日本,54,大阪,兵庫県
70516-23,ヤマト運輸㈱　相生営業所止メ,678-0001,兵庫県相生市山手２－１－１,(ｾﾝﾀｰｺｰﾄﾞ:067162),0570-200-000,079-252-8808,221010,大阪支店,201,大阪,101,日本,55,兵庫,兵庫県
70551-00,ヤマト運輸㈱　福崎営業所（神崎北）止メ,679-2203,兵庫県神崎郡福崎町南田原字坂の下２１７８－１,(ｾﾝﾀｰｺｰﾄﾞ:067181),0570-200-000,079-252-8808,221010,大阪支店,201,大阪,101,日本,55,兵庫,兵庫県
70516-24,ヤマト運輸㈱吹田山田営業所止メ,565-0825,大阪府吹田市山田北９－１３,(ｾﾝﾀｰｺｰﾄﾞ:068341),0570-200-000,072-655-9226,221010,大阪支店,201,大阪,101,日本,54,大阪,大阪府
70512-00,ヤマト運輸㈱　茨木畑田営業所止メ,567-0028,大阪府茨木市畑田町１－７,(ｾﾝﾀｰｺｰﾄﾞ:068411),0570-200-760,072-655-9226,221010,大阪支店,201,大阪,101,日本,54,大阪,大阪府
70405-84,ヤマト運輸㈱りんくう営業所止メ,598-0048,大阪府泉佐野市りんくう往来北２－１０,(ｾﾝﾀｰｺｰﾄﾞ:069682),0570-200-000,06-6655-1753,221010,大阪支店,201,大阪,101,日本,54,大阪,大阪府
70440-96,ヤマト運輸㈱　笠岡営業所止メ,714-0081,岡山県笠岡市笠岡２７６－４,(ｾﾝﾀｰｺｰﾄﾞ:070020),0570-200-000,086-277-3989,222010,広島営業所,202,広島,101,日本,60,岡山,岡山県
70446-46,ヤマト運輸㈱　岡山真備営業所止メ,710-1301,岡山県倉敷市真備町箭田８６９－３,(ｾﾝﾀｰｺｰﾄﾞ:070032),0570-200-000,086-277-3989,222010,広島営業所,202,広島,101,日本,60,岡山,岡山県
70405-31,ヤマト運輸㈱　金光営業所止メ,719-0113,岡山県浅口市金光町佐方１７３－１,(ｾﾝﾀｰｺｰﾄﾞ:070120),0570-200-000,086-277-3989,222010,広島営業所,202,広島,101,日本,60,岡山,岡山県
70405-18,ヤマト運輸㈱　岡山矢掛営業所止メ,714-1227,岡山県小田郡矢掛町小田１３５５－１６,(ｾﾝﾀｰｺｰﾄﾞ:070200),0570-200-000,086-277-3989,222010,広島営業所,202,広島,101,日本,60,岡山,岡山県
70516-06,ヤマト運輸㈱　倉敷玉島営業所止メ,710-0253,岡山県倉敷市新倉敷駅前５－１３８,(ｾﾝﾀｰｺｰﾄﾞ:070202),0570-200-000,086-277-3989,221010,大阪支店,201,大阪,101,日本,60,岡山,岡山県
70353-55,ヤマト運輸㈱　岡山井原営業所止メ,715-0014,岡山県井原市七日市町　１０１－２,(ｾﾝﾀｰｺｰﾄﾞ:070210),0570-200-000,086-277-3989,222010,広島営業所,202,広島,101,日本,60,岡山,岡山県
70353-36,ヤマト運輸㈱　岡山瀬戸営業所止メ,709-0855,岡山県岡山市東区瀬戸町沖１９６－３,(ｾﾝﾀｰｺｰﾄﾞ:070244),0570-200-000,086-277-3989,221010,大阪支店,201,大阪,101,日本,60,岡山,岡山県
70353-80,ヤマト運輸㈱岡山高島営業所止メ,703-8206,岡山県岡山市中区賞田２０７－１,(ｾﾝﾀｰｺｰﾄﾞ:070353),0570-200-000,086-277-3989,221010,大阪支店,201,大阪,101,日本,60,岡山,岡山県
70405-34,ヤマト運輸㈱　岡山大内田営業所止メ,701-0165,岡山県岡山市北区大内田７６７－５,(ｾﾝﾀｰｺｰﾄﾞ:070363),0570-200-000,086-277-3989,221010,大阪支店,201,大阪,101,日本,60,岡山,岡山県
70446-54,ヤマト運輸㈱　福山中央営業所止メ,720-0821,広島県福山市東川口町１－４－１,(ｾﾝﾀｰｺｰﾄﾞ:070801),0570-200-000,0824-62-3061,222010,広島営業所,202,広島,101,日本,61,広島,広島県
70440-99,ヤマト運輸㈱　福山駅家営業所止メ,720-1131,広島県福山市駅家町万能倉１２７４－１,(ｾﾝﾀｰｺｰﾄﾞ:070862),0570-200-000,0824-62-3061,222010,広島営業所,202,広島,101,日本,61,広島,広島県
70404-47,ヤマト運輸㈱　備後府中営業所止メ,726-0035,広島県府中市父石町字下田６番地,(ｾﾝﾀｰｺｰﾄﾞ:071060),0570-200-000,0824-62-3061,222010,広島営業所,202,広島,101,日本,61,広島,広島県
70516-16,ヤマト運輸㈱　庄原営業所止メ,727-0022,広島県庄原市上原町字大場５０５－１,(ｾﾝﾀｰｺｰﾄﾞ:071071),0570-200-000,0824-62-3061,222010,広島営業所,202,広島,101,日本,61,広島,広島県
70353-93,ヤマト運輸㈱安芸高田営業所止メ,731-0501,広島県安芸高田市吉田町吉田２１２８－２,(ｾﾝﾀｰｺｰﾄﾞ:071080),0570-200-000,0824-62-3061,222010,広島営業所,202,広島,101,日本,61,広島,広島県
70404-98,ヤマト運輸㈱　三次中央営業所止メ,728-0006,広島県三次市畠敷町８５９番地１,(ｾﾝﾀｰｺｰﾄﾞ:071090),0570-200-000,0824-62-3061,222010,広島営業所,202,広島,101,日本,61,広島,広島県
70516-18,ヤマト運輸㈱　広島千代田営業所止メ,731-1512,広島県山県郡北広島町川東字氏神３２６０,(ｾﾝﾀｰｺｰﾄﾞ:072010),0570-200-000,082-849-0090,222010,広島営業所,202,広島,101,日本,61,広島,広島県
70199-78,ヤマト運輸㈱　広島中野営業所止メ,739-0323,広島県広島市安芸区中野東２－５－２７,(ｾﾝﾀｰｺｰﾄﾞ:072060),082-874-6320,082-849-0090,222010,広島営業所,202,広島,101,日本,61,広島,広島県
70404-95,ヤマト運輸㈱　広島中野営業所止メ,739-0323,広島県広島市安芸区中野東２－５－２７,(ｾﾝﾀｰｺｰﾄﾞ:072062),0570-200-000,082-849-0090,222010,広島営業所,202,広島,101,日本,61,広島,広島県
70404-32,ヤマト運輸㈱　西風新都営業所止メ,731-3168,広島県広島市安佐南区伴南３－１－１,(ｾﾝﾀｰｺｰﾄﾞ:072220),082-874-6320,082-849-0090,222010,広島営業所,201,大阪,101,日本,61,広島,広島県
70405-49,ヤマト運輸㈱　広島志和センター止メ,739-0264,広島県東広島市志和町大字七条椛坂１９８２－１,(ｾﾝﾀｰｺｰﾄﾞ:072244),082-874-6320,082-849-0090,222010,広島営業所,202,広島,101,日本,61,広島,広島県
70405-75,ヤマト運輸㈱　広島坂町営業所止メ,731-4311,広島県安芸郡坂町北新地４－２－６７,(ｾﾝﾀｰｺｰﾄﾞ:072250),0570-200-000,082-849-0090,222010,広島営業所,202,広島,101,日本,61,広島,広島県
70404-28,ヤマト運輸㈱　広島祇園営業所止メ,731-0138,広島県広島市安佐南区祇園３－２３－２３,(ｾﾝﾀｰｺｰﾄﾞ:072460),082-874-6320,082-849-0090,222010,広島営業所,202,広島,101,日本,61,広島,広島県
70405-55,ヤマト運輸㈱　防府西営業所止メ,747-0836,山口県防府市植松字中川１３７３番地９,(ｾﾝﾀｰｺｰﾄﾞ:073082),0570-200-000,083-986-3815,222010,広島営業所,202,広島,101,日本,64,山口,山口県
70405-52,ヤマト運輸㈱　山口東営業所（御堀）止メ,753-0212,山口県山口市下小鯖６４３－１,(ｾﾝﾀｰｺｰﾄﾞ:073091),0570-200-000,083-986-3815,222010,広島営業所,201,大阪,101,日本,64,山口,山口県
70405-37,ヤマト運輸㈱　山陽小野田営業所止メ,756-0057,山口県山陽小野田市西高泊１０４６－６,(ｾﾝﾀｰｺｰﾄﾞ:073100),0570-200-000,083-986-3815,222010,広島営業所,202,広島,101,日本,64,山口,山口県
70405-21,ヤマト運輸㈱　嘉川営業所止メ,754-0896,山口県山口市江崎２９１０－１,(ｾﾝﾀｰｺｰﾄﾞ:073140),0570-200-000,083-986-3815,222010,広島営業所,202,広島,101,日本,64,山口,山口県
70509-04,ヤマト運輸㈱　嘉川営業所止メ,754-0896,山口県山口市江崎２９１０－１,(ｾﾝﾀｰｺｰﾄﾞ:073140),0570-200-000,083-986-3815,222010,広島営業所,202,広島,101,日本,64,山口,山口県
70446-03,ヤマト運輸㈱　山口南営業所止メ,747-1221,山口県山口市鋳銭司字鋳銭司団地北４４７－２３,(ｾﾝﾀｰｺｰﾄﾞ:073142),0570-200-000,083-986-3815,222010,広島営業所,202,広島,101,日本,64,山口,山口県
70199-64,ヤマト運輸㈱　宇部西営業所（新川）止メ,755-0808,山口県宇部市西平原３丁目１－３０,(ｾﾝﾀｰｺｰﾄﾞ:073170),0570-200-000,083-986-3815,222010,広島営業所,202,広島,101,日本,64,山口,山口県
70199-34,ヤマト運輸㈱　岩国営業所止メ,741-0083,山口県岩国市御庄５－１０４－１,(ｾﾝﾀｰｺｰﾄﾞ:073340),0570-200-000,083-986-3815,222010,広島営業所,202,広島,101,日本,64,山口,山口県
70405-62,ヤマト運輸㈱　玖珂営業所止メ,742-0315,山口県岩国市玖珂町字瀬田４６１８－１,(ｾﾝﾀｰｺｰﾄﾞ:073342),0570-200-000,083-986-3815,222010,広島営業所,202,広島,101,日本,61,広島,山口県
70405-54,ヤマト運輸㈱　出雲高岡営業所止メ,693-0066,島根県出雲市高岡町１２３４,(ｾﾝﾀｰｺｰﾄﾞ:075111),0570-200-000,0824-62-3061,221010,大阪支店,201,大阪,101,日本,63,島根,島根県
70405-63,ヤマト運輸㈱　斐川営業所止メ,699-0505,島根県出雲市斐川町上庄原１４３５,(ｾﾝﾀｰｺｰﾄﾞ:075170),0853-72-4312,0824-62-3061,221010,大阪支店,201,大阪,101,日本,63,島根,島根県
70404-91,ヤマト運輸㈱　斐川営業所（平田）止メ,699-0505,島根県出雲市斐川町上庄原１４３５,(ｾﾝﾀｰｺｰﾄﾞ:075171),0570-200-000,0824-62-3061,221010,大阪支店,201,大阪,101,日本,63,島根,島根県
70405-45,ヤマト運輸㈱　大社営業所止メ,693-0043,島根県出雲市長浜町６５９－３８,(ｾﾝﾀｰｺｰﾄﾞ:075320),0570-200-000,0824-62-3061,222010,広島営業所,202,広島,101,日本,63,島根,島根県
70405-28,ヤマト運輸㈱　鳥取中央営業所止メ,680-0911,鳥取県鳥取市千代水３－３０,(ｾﾝﾀｰｺｰﾄﾞ:077010),0570-200-000,0868-54-7166,221010,大阪支店,201,大阪,101,日本,62,鳥取,鳥取県
70516-31,ヤマト運輸㈱　鳥取中央営業所止メ,680-0911,鳥取県鳥取市千代水３－３０,(ｾﾝﾀｰｺｰﾄﾞ:077010),0570-200-000,0868-54-7166,221010,大阪支店,201,大阪,101,日本,62,鳥取,鳥取県
70516-26,ヤマト運輸㈱　境港営業所（なか海）止メ,684-0031,鳥取県境港市湊町１３８－２,(ｾﾝﾀｰｺｰﾄﾞ:077040),0570-200-000,0868-54-7166,222010,広島営業所,202,広島,101,日本,62,鳥取,鳥取県
70516-00,ヤマト運輸㈱　米子東営業所止メ,689-3403,鳥取県米子市淀江町西原字三軒屋１２０７番地１,(ｾﾝﾀｰｺｰﾄﾞ:077060),0570-200-000,0868-54-7166,221010,大阪支店,201,大阪,101,日本,62,鳥取,鳥取県
70446-15,ヤマト運輸㈱　鳥取八頭営業所止メ,680-1212,鳥取県鳥取市河原町徳吉３１６－１,(ｾﾝﾀｰｺｰﾄﾞ:077070),0570-200-000,0868-54-7166,221010,大阪支店,201,大阪,101,日本,62,鳥取,鳥取県
70446-36,ヤマト運輸㈱　美作営業所（英田）止メ,707-0015,岡山県美作市豊国原１８７－２,(ｾﾝﾀｰｺｰﾄﾞ:077080),0570-200-000,0868-54-7166,221010,大阪支店,201,大阪,101,日本,60,岡山,岡山県
70516-21,ヤマト運輸㈱　高梁営業所（津川）止メ,716-0002,岡山県高梁市津川町今津８８８－１,(ｾﾝﾀｰｺｰﾄﾞ:077131),0570-200-000,0868-54-7166,222010,広島営業所,202,広島,101,日本,60,岡山,岡山県
70516-05,ヤマト運輸㈱　岡山上道営業所止メ,709-0625,岡山県岡山市東区上道北方３４６,(ｾﾝﾀｰｺｰﾄﾞ:077150),0570-200-000,086-277-3989,221010,大阪支店,201,大阪,101,日本,60,岡山,岡山県
70516-19,ヤマト運輸㈱　赤磐ネオポリス営業所止メ,709-0812,岡山県赤磐市沼田９２７－１,(ｾﾝﾀｰｺｰﾄﾞ:077151),0570-200-000,0868-54-7166,221010,大阪支店,201,大阪,101,日本,60,岡山,岡山県
70516-11,ヤマト運輸㈱　津山東営業所（勝北）止メ,708-1126,岡山県津山市押入１１４－１,(ｾﾝﾀｰｺｰﾄﾞ:077160),0570-200-000,0868-54-7166,221010,大阪支店,201,大阪,101,日本,60,岡山,岡山県
70509-05,ヤマト運輸㈱　安来営業所（飯島）止メ,692-0001,島根県安来市赤江町１８８５－４,(ｾﾝﾀｰｺｰﾄﾞ:077230),0570-200-000,0868-54-7166,221010,大阪支店,201,大阪,101,日本,63,島根,島根県
70440-98,ヤマト運輸㈱　坂出林田営業所止メ,762-0012,香川県坂出市林田町４２８５番地２６１,(ｾﾝﾀｰｺｰﾄﾞ:080121),0570-200-000,0877-45-5774,222010,広島営業所,202,広島,101,日本,71,香川,香川県
70354-03,ヤマト運輸㈱　琴平営業所止メ,766-0013,香川県仲多度郡まんのう町東高篠５１７番地１,(ｾﾝﾀｰｺｰﾄﾞ:080141),0570-200-000,0877-45-5774,222010,広島営業所,201,大阪,101,日本,71,香川,香川県
70446-96,ヤマト運輸㈱　丸亀営業所止,763-0066,香川県丸亀市天満町１丁目８５２－１,(ｾﾝﾀｰｺｰﾄﾞ:080150)  ,0877-85-2838,0877-45-5774,222010,広島営業所,202,広島,101,日本,71,香川,香川県
70405-58,ヤマト運輸㈱　香川白鳥営業所止メ,769-2703,香川県東かがわ市伊座字甚古谷５５６－１,(ｾﾝﾀｰｺｰﾄﾞ:080300),0570-200-000,0877-45-5774,221010,大阪支店,201,大阪,101,日本,71,香川,香川県
70570-01,ヤマト運輸㈱板野北島営業所止メ,771-0214,徳島県板野郡松茂町満穂字満穂開拓１１４－３,(ｾﾝﾀｰｺｰﾄﾞ:082041),0570-200-000,088-699-7571,221010,大阪支店,201,大阪,101,日本,72,徳島,徳島県
70516-02,ヤマト運輸㈱松茂営業所止メ,771-0212,徳島県板野郡松茂町中喜来字福有開拓３０８－１９,(ｾﾝﾀｰｺｰﾄﾞ:082042),0570-200-000,088-699-7571,221010,大阪支店,201,大阪,101,日本,72,徳島,徳島県
70516-03,ヤマト運輸㈱　吉野川営業所（鴨島）止メ,776-0020,徳島県吉野川市鴨島町西麻植字絵馬堂３０,(ｾﾝﾀｰｺｰﾄﾞ:082080),0570-200-000,088-699-7571,221010,大阪支店,201,大阪,101,日本,72,徳島,徳島県
70516-25,ヤマト運輸㈱土成営業所止メ,776-0020,徳島県阿波市土成町水田字堂ケ池３３－１,(ｾﾝﾀｰｺｰﾄﾞ:082080),0570-200-000,088-699-7571,221010,大阪支店,201,大阪,101,日本,72,徳島,徳島県
70446-73,ヤマト運輸㈱阿南営業所（見能林）止メ,774-0017,徳島県阿南市見能林町大作半１９－１,(ｾﾝﾀｰｺｰﾄﾞ:082140),0570-200-000,088-699-7571,221010,大阪支店,201,大阪,101,日本,72,徳島,徳島県
70516-29,ヤマト運輸㈱　阿南営業所（見能林）止メ,774-0017,徳島県阿南市見能林町大作半１９－１,(ｾﾝﾀｰｺｰﾄﾞ:082140),0570-200-000,088-699-7571,221010,大阪支店,201,大阪,101,日本,72,徳島,徳島県
70440-97,ヤマト運輸㈱　高知安芸営業所止メ,784-0001,高知県安芸市矢の丸４丁目４－２,(ｾﾝﾀｰｺｰﾄﾞ:083060),0570-200-000,088-804-8557,222010,広島営業所,202,広島,101,日本,70,高知,高知県
70405-04,ヤマト運輸㈱　高知土佐山田営業所止メ,782-0051,高知県香美市土佐山田町楠目１５０５－１,(ｾﾝﾀｰｺｰﾄﾞ:083070),0570-200-000,088-804-8557,221010,大阪支店,201,大阪,101,日本,70,高知,高知県
70404-96,ヤマト運輸㈱　松山西営業所止メ,791-8042,愛媛県松山市南吉田町１４９９,(ｾﾝﾀｰｺｰﾄﾞ:084020),0570-200-000,089-963-8673,222010,広島営業所,202,広島,101,日本,73,愛媛,愛媛県
70405-44,ヤマト運輸㈱　愛媛西条営業所止メ,793-0042,愛媛県西条市喜多川７８８－１,(ｾﾝﾀｰｺｰﾄﾞ:085240),0570-200-000,089-963-8673,222010,広島営業所,202,広島,101,日本,73,愛媛,愛媛県
70516-28,ヤマト運輸㈱　西条西営業所（東予）止メ,791-0502,愛媛県西条市丹原町願連寺６８５－１,(ｾﾝﾀｰｺｰﾄﾞ:085250),082-874-6320,089-963-8673,222010,広島営業所,202,広島,101,日本,73,愛媛,愛媛県
70542-00,ヤマト運輸㈱　福岡篠栗営業所止メ,811-2501,福岡県糟屋郡久山町久原３０１８番,(ｾﾝﾀｰｺｰﾄﾞ:090840),0570-200-000,092-939-3981,223010,福岡営業所,203,福岡,101,日本,80,福岡,福岡県
70199-25,ヤマト運輸㈱　行橋営業所止メ,824-0033,福岡県行橋市北泉２－３－１,(ｾﾝﾀｰｺｰﾄﾞ:091031),090-1090-8257,093-475-8014,223010,福岡営業所,203,福岡,101,日本,80,福岡,福岡県
70528-00,ヤマト運輸㈱　行橋営業所止メ,824-0033,福岡県行橋市北泉２－３－１,(ｾﾝﾀｰｺｰﾄﾞ:091031),0570-200-000,093-475-8014,223010,福岡営業所,203,福岡,101,日本,80,福岡,福岡県
70563-00,ヤマト運輸㈱　行橋営業所止メ,824-0033,福岡県行橋市北泉２－３－１,(ｾﾝﾀｰｺｰﾄﾞ:091031),0570-200-000,093-475-8014,223010,福岡営業所,203,福岡,101,日本,80,福岡,福岡県
70200-20,ヤマト運輸㈱　八幡本城営業所止メ,807-0801,福岡県北九州市八幡西区大字本城字清水１９３７－５,(ｾﾝﾀｰｺｰﾄﾞ:091041),0570-200-000,093-475-8014,223010,福岡営業所,203,福岡,101,日本,80,福岡,福岡県
70404-94,ヤマト運輸㈱　小倉東営業所（葛原）止メ,800-0206,福岡県北九州市小倉南区葛原東５－１５－１北九州主管支店内,(ｾﾝﾀｰｺｰﾄﾞ:091052),0570-200-000,093-475-8014,223010,福岡営業所,203,福岡,101,日本,80,福岡,福岡県
70561-00,ヤマト運輸㈱　直方営業所止メ,822-0002,福岡県直方市大字頓野３１５５－１,(ｾﾝﾀｰｺｰﾄﾞ:091100),0570-200-000,093-475-8014,223010,福岡営業所,203,福岡,101,日本,80,福岡,福岡県
70558-00,ヤマト運輸㈱　八幡東営業所止メ,805-0069,福岡県北九州市八幡東区前田１－３－５,(ｾﾝﾀｰｺｰﾄﾞ:091141),0570-200-000,093-475-8014,223010,福岡営業所,203,福岡,101,日本,80,福岡,福岡県
70560-00,ヤマト運輸㈱　北九州臨空営業所止メ,800-0352,福岡県京都郡苅田町富久１－２５－７,(ｾﾝﾀｰｺｰﾄﾞ:091330),0570-200-000,093-475-8014,223010,福岡営業所,203,福岡,101,日本,80,福岡,福岡県
70489-00,ヤマト運輸㈱　古賀営業所止メ,811-3103,福岡県古賀市中央１丁目３－５,(ｾﾝﾀｰｺｰﾄﾞ:091522),0570-200-000,093-475-8014,223010,福岡営業所,203,福岡,101,日本,80,福岡,福岡県
70539-00,ヤマト運輸㈱　中津営業所止メ,871-0007,大分県中津市蛎瀬字小松１２５０－１,(ｾﾝﾀｰｺｰﾄﾞ:091801),0570-200-000,097-514-3031,223010,福岡営業所,203,福岡,101,日本,83,大分,大分県
70598-00,ヤマト運輸㈱　中津営業所（中津）,871-0007,大分県中津市蛎瀬字小松１２５０－１,(ｾﾝﾀｰｺｰﾄﾞ:091801),0570-200-000,097-514-3031,223010,福岡営業所,203,福岡,101,日本,83,大分,大分県
70567-00,ヤマト運輸㈱　佐賀北営業所（金立）止メ,849-0901,佐賀県佐賀市久保泉町大字川久保字御手水２５９２－１,(ｾﾝﾀｰｺｰﾄﾞ:092120),0570-200-000,0952-98-3547,223010,福岡営業所,203,福岡,101,日本,81,佐賀,佐賀県
70559-00,ヤマト運輸㈱　御船営業所止メ,861-3131,熊本県上益城郡御船町豊秋７３７,(ｾﾝﾀｰｺｰﾄﾞ:094130),0570-200-000,096-287-8070,223010,福岡営業所,203,福岡,101,日本,84,熊本,熊本県
70405-85,ヤマト運輸㈱　菊池営業所（大津）,869-1236,熊本県菊池郡大津町杉水２８９３－１,(ｾﾝﾀｰｺｰﾄﾞ:094140),0570-200-000,096-287-8070,223010,福岡営業所,201,大阪,101,日本,84,熊本,熊本県
70199-41,ヤマト運輸㈱　熊本菊陽営業所止メ,869-1102,熊本県菊池郡菊陽町原水字南下原１４０６－３,(ｾﾝﾀｰｺｰﾄﾞ:094141),0570-200-000,096-287-8070,223010,福岡営業所,203,福岡,101,日本,84,熊本,熊本県
70534-00,ヤマト運輸㈱　熊本南営業所（浜線）止メ,862-0947,熊本県熊本市東区画図町重富字前無田４９９－１,(ｾﾝﾀｰｺｰﾄﾞ:094342),0570-200-000,096-287-8070,223010,福岡営業所,203,福岡,101,日本,84,熊本,熊本県
70200-50,1,869-1236,熊本県菊池郡大津町杉水２８９３－１,(ｾﾝﾀｰｺｰﾄﾞ:094380),0570-200-000,096-287-8070,223010,福岡営業所,203,福岡,101,日本,84,熊本,熊本県
70353-46,ヤマト運輸㈱　菊池営業所止メ,869-1236,熊本県菊池郡大津町杉水２８９３－１,(ｾﾝﾀｰｺｰﾄﾞ:094380),0570-200-000,096-287-8070,223010,福岡営業所,203,福岡,101,日本,84,熊本,熊本県
70548-00,ヤマト運輸㈱　杵築営業所止メ,873-0015,大分県杵築市八坂五反鶴１８５１－１,(ｾﾝﾀｰｺｰﾄﾞ:095030),0570-200-000,097-514-3031,223010,福岡営業所,203,福岡,101,日本,83,大分,大分県
70581-00,ヤマト運輸㈱　玖珠営業所止メ,879-4405,大分県玖珠郡玖珠町大字岩室字野添２４８－１,(ｾﾝﾀｰｺｰﾄﾞ:095080),0570-200-000,097-514-3031,223010,福岡営業所,203,福岡,101,日本,83,大分,大分県
70533-00,ヤマト運輸㈱　大分国東営業所止メ,873-0503,大分県国東市国東町鶴川１６５６,(ｾﾝﾀｰｺｰﾄﾞ:095120),0570-200-000,097-514-3031,223010,福岡営業所,203,福岡,101,日本,83,大分,大分県
70586-00,ヤマト運輸㈱　豊後高田センター止め,879-0608,大分県豊後高田市大字呉崎字下福有１８２６,(ｾﾝﾀｰｺｰﾄﾞ:095170),0570-200-000,097-514-3031,223010,福岡営業所,203,福岡,101,日本,83,大分,大分県
70510-00,ヤマト運輸㈱大分大在営業所止メ,870-0244,大分県大分市須賀２－１７－２９,(ｾﾝﾀｰｺｰﾄﾞ:095190),0570-200-000,097-514-3031,223010,福岡営業所,203,福岡,101,日本,83,大分,大分県
70562-00,ヤマト運輸㈱　大分萩原営業所止メ,870-0921,大分県大分市萩原４－８－１５,(ｾﾝﾀｰｺｰﾄﾞ:095202),0570-200-000,097-514-3031,223010,福岡営業所,203,福岡,101,日本,83,大分,大分県
70519-00,ヤマト運輸㈱　別府東荘園営業所止メ,874-0840,大分県別府市大字鶴見４５４６番地１,(ｾﾝﾀｰｺｰﾄﾞ:095220),0570-200-000,097-514-3031,223010,福岡営業所,203,福岡,101,日本,83,大分,大分県
70353-86,ヤマト運輸㈱　延岡営業所（別府）止メ,882-0861,宮崎県延岡市別府町３１２４－１,(ｾﾝﾀｰｺｰﾄﾞ:096020),0570-200-000,0985-56-0122,223010,福岡営業所,203,福岡,101,日本,85,宮崎,宮崎県
70565-00,ヤマト運輸㈱　大武営業所止メ,882-0003,宮崎県延岡市稲葉崎４丁目２０７２,(ｾﾝﾀｰｺｰﾄﾞ:096200),0570-200-000,0985-56-0122,223010,福岡営業所,203,福岡,101,日本,85,宮崎,宮崎県
70354-01,ヤマト運輸㈱　静岡中島センター止メ,422-8046,静岡県静岡市駿河区中島1006,(ｾﾝﾀｰｺｰﾄﾞ:150100),054-289-2241,054-285-1122,221010,大阪支店,201,大阪,101,日本,40,静岡,静岡県
70353-81,ヤマト運輸㈱東大阪本庄営業所止メ,578-0957,大阪府東大阪市本庄中１－４－９０,(ｾﾝﾀｰｺｰﾄﾞ:160160),0570-200-000,06-6904-7571,221010,大阪支店,201,大阪,101,日本,54,大阪,大阪府
70353-76,ヤマト運輸㈱東大阪布施営業所止メ,577-0827,大阪府東大阪市衣摺２－１７－１１,(ｾﾝﾀｰｺｰﾄﾞ:160170),0570-200-000,06-6904-7571,221010,大阪支店,201,大阪,101,日本,54,大阪,大阪府
70353-75,ヤマト運輸㈱東大阪長田営業所止メ,577-0006,大阪府東大阪市長田東３－５－６,(ｾﾝﾀｰｺｰﾄﾞ:160183),0570-200-000,06-6904-7571,221010,大阪支店,201,大阪,101,日本,54,大阪,大阪府
70570-00,ヤマト運輸㈱東大阪花園営業所止メ,578-0932,大阪府東大阪市玉串町東１－６－２６,(ｾﾝﾀｰｺｰﾄﾞ:160192),0570-200-000,06-6904-7571,221010,大阪支店,201,大阪,101,日本,54,大阪,大阪府
70405-91,ヤマト運輸㈱　羽曳野営業所止メ,583-0881,大阪府羽曳野市島泉８－１４７－１,(ｾﾝﾀｰｺｰﾄﾞ:160244),0570-200-000,06-6904-7571,221010,大阪支店,201,大阪,101,日本,54,大阪,大阪府
70404-70,ヤマト運輸㈱　門真営業所（島頭）止メ,571-0016,大阪府門真市島頭１丁目２－８,(ｾﾝﾀｰｺｰﾄﾞ:160530),0570-200-000,06-6904-7571,221010,大阪支店,201,大阪,101,日本,54,大阪,大阪府
70199-65,ヤマト運輸㈱　松原営業所（三宅）止メ,580-0046,大阪府松原市三宅中６－１０,(ｾﾝﾀｰｺｰﾄﾞ:160650),0570-200-000,06-6904-7571,221010,大阪支店,201,大阪,101,日本,54,大阪,大阪府
70405-41,ヤマト運輸㈱　鶴見営業所止メ,538-0052,大阪府大阪市鶴見区横堤４－７－６,(ｾﾝﾀｰｺｰﾄﾞ:161160),0570-200-000,06-6465-6810,221010,大阪支店,201,大阪,101,日本,54,大阪,大阪府
