客先№,会社名,TEL,FAX,地区名,〒,住所
02096-00,内村酸素㈱　熊本南営業所,096-237-2525,096-237-1158,熊本,861-3103,熊本県上益城郡嘉島町井寺４３１－２６
02096-01,内村酸素㈱　有明事業所,0968-78-1311,0968-78-2851,熊本,869-0105,熊本県玉名郡長洲町清源寺字川西６２０－１
02096-02,内村酸素㈱　菊陽事業所,096-233-2222,096-233-3122,熊本,869-1101,熊本県菊池郡菊陽町津久礼平ノ上２４－１
02097-00,宇徳運輸㈱　錦町倉庫,045-622-5861,,神奈川,231-0812,神奈川県横浜市中区錦町９
02097-01,㈱宇徳　大黒Ｌ－５営業所　港運部,045-500-5105,045-501-2581,神奈川,230-0054,神奈川県横浜市鶴見区大黒ふ頭７－１
02098-00,上野プラスチック工業所,06-6789-8201,,大阪,577-0033,大阪府東大阪市御厨東２－１１－４３
02099-00,㈱碓井製作所,0764-72-4605,0764-72-2908,富山,930-0357,富山県中新川郡上市町正印３－１
02099-01,㈱碓井製作所　テクニカルセンター,076-473-2020,076-473-2021,富山,930-0362,富山県中新川郡上市町稗田１０番地
02100-00,臼井製作所,0581-36-3964,,岐阜,501-2100,岐阜県山県市伊自良村大字藤倉字村中
02101-00,植田製作所,0285-49-1834,,栃木,323-0152,栃木県小山市延島２７５０
02102-00,上田原製作所,0268-23-2028,0268-23-2326,長野,386-1102,長野県上田市上田原５５２－１
02104-00,植田化成工業所,06-6728-6313,06-6728-6313,大阪,577-0827,大阪府東大阪市衣摺５－１－１３
02105-00,上原製作所㈱,0489-24-2081,,埼玉,340-0022,埼玉県草加市瀬崎町１３４７－２
02107-00,ウエキ化成,0949-42-8161,0949-42-8126,福岡,807-1312,福岡県鞍手郡鞍手町大字中山３０２４－４７
02110-00,㈱浮田,0294-32-2035,,茨城,316-0003,茨城県日立市多賀町５－６－６
02111-00,美術工芸舎,045-584-4930,045-309-7036,神奈川,230-0071,神奈川県横浜市鶴見区駒岡５丁目１５－１１
02113-00,㈱ウエノテクニカ,0277-52-0556,0277-52-3542,群馬,376-0013,群馬県桐生市広沢町５－１３１１
02117-00,㈱潮樹脂研究所,03-3774-5847,03-3774-2052,東京,140-0013,東京都品川区南大井６－１２－３
02119-00,㈱臼井金型,0772-42-4107,0772-43-1449,京都,629-2302,京都府与謝郡与謝野町下山田５０３
02119-01,㈱臼井金型　成形事業部,0772-43-0666,0772-43-1449,京都,629-2302,京都府与謝郡与謝野町下山田５０３臼井織物㈱内
02120-00,株式会社上杉輸送機製作所,06-6658-2020,06-6658-2091,大阪,557-0063,大阪府大阪市西成区南津守５－３－４７
02120-01,㈱上杉輸送機製作所　養父工場,079-665-0990,079-665-0961,兵庫,667-0112,兵庫県養父市養父市場柳原１０５９
02123-00,宇治化成工業所,0774-22-9141,0774-23-8921,京都,611-0041,京都府宇治市槇島町外１番地
02128-00,ウルマ工業,0566-48-1561,0566-48-2825,愛知,447-0882,愛知県碧南市日進町３丁目３９
02128-01,ウルマ工業　碧南工場,0566-41-9596,,愛知,447-0857,愛知県碧南市大浜上町３丁目４６番地
02129-00,ウタサギ,045-571-3227,,神奈川,230-0001,神奈川県横浜市鶴見区矢向２－７－６
02131-00,㈱ウノコーポレーション,0778-24-3557,,福井,915-0801,福井県越前市家久町１０５号２７番地
02132-00,植田機械㈱　東京支店,03-3395-0781,03-3396-3810,東京,167-0043,東京都杉並区上荻３丁目２７番１３号
02132-01,植田機械㈱　本社,06-6743-0110,06-6743-0101,大阪,577-0012,大阪府東大阪市長田東５丁目１番１８号
02132-02,植田機械㈱　仙台営業所,022-306-3821,022-306-3888,宮城,981-1106,宮城県仙台市太白区柳生２－２５－１　メルベイユ柳生１０２
02133-00,㈱植松商会　古川営業所,0229-23-1711,0229-23-1713,宮城,989-6145,宮城県大崎市古川北稲葉１－３－１０
02133-01,㈱植松商会　北上営業所,0197-68-4111,0197-68-4113,岩手,024-0004,岩手県北上市村崎野２２－８３－１５
02133-02,㈱植松商会　仙南営業所,0223-22-4136,0223-22-4138,宮城,989-2432,宮城県岩沼市中央４－１４－１３
02133-03,㈱植松商会　石巻営業所,0225-21-6170,0225-21-6173,宮城,986-0854,宮城県石巻市大街道北一丁目１－２４
02133-04,㈱植松商会　八戸営業所,0178-28-6711,0178-28-6713,青森,039-1121,青森県八戸市卸センター２－６－２６
02133-05,㈱植松商会　宮古営業所,0193-83-1480,0193-83-1487,岩手,027-0203,岩手県宮古市津軽石第１３地割４８０－１
02134-00,㈱上組ポートアイランドコンテナセンター,078-302-6415,,兵庫,650-0045,兵庫県神戸市中央区港島４丁目地先
02136-00,上川製作所,0280-78-0233,,茨城,306-0113,茨城県古河市谷具４７６－３
02137-01,ウルマ工作所　本社,0566-54-5416,0566-54-5417,愛知,444-1322,愛知県高浜市二池町５ー５－１
02138-00,ウシオ精工㈱　第２工場,0790-22-6355,0790-22-2825,兵庫,679-2203,兵庫県神崎郡福崎町南田原２９５５
02138-03,ウシオ精工株式会社,0790-22-1089,,兵庫,679-2203,兵庫県神崎郡福崎町南田原６９６
02139-00,上松プラスチック,0265-72-6976,0265-72-6976,長野,396-0000,長野県伊那市西町小黒
02141-00,㈱ジェイテクトファインテック,028-653-1311,028-653-0796,栃木,321-0121,栃木県宇都宮市雀宮町５８５番地
02141-01,㈱ジェイテクトファインテック　第２工場,0285-38-9516,,栃木,329-0502,栃木県下野市下古山２９４５－６
02141-02,㈱ジェイテクトファインテック　清原工場,028-333-5081,028-667-0210,栃木,321-3231,栃木県宇都宮市清原工業団地１８番６
02142-00,㈱海野製作所,0489-52-8233,,埼玉,341-0041,埼玉県三郷市花和田１０２－１
02143-00,宇部テクノエンジ株式会社,0836-22-5081,0836-21-5826,山口,755-0801,山口県宇部市大字小串字沖の山１９８０
02143-01,宇部テクノエンジ㈱,0276-40-2700,0276-22-7722,群馬,373-0014,群馬県太田市植木野町９７５－１
02145-00,ウルトラテック㈱,045-939-7757,045-939-7760,神奈川,226-0006,神奈川県横浜市緑区白山1-18-2白山ハイテパークＧＩセンター
02146-00,ウツボ化成工業,0191-46-4198,0191-46-4195,岩手,029-4101,岩手県西磐井郡平泉町長島字滝ノ沢１２
02148-00,上野技術サービス㈱,0794-28-4500,,兵庫,675-1218,兵庫県加古川市上荘町小野１０２７－６
02150-00,宇佐見鉄工㈱,052-361-6521,,愛知,454-0835,愛知県名古屋市中川区八家町１－１３６
02153-00,宇部日東化成㈱,0582-71-5511,0582-71-9919,岐阜,500-8386,岐阜県岐阜市藪田西２－１－１
02155-00,ウエルストン電子㈱,0552-41-8881,,山梨,400-0058,山梨県甲府市宮原外河原６０５　国母工業団地内
02155-01,ウエルストン電子㈱　八王子工場,0426-44-3336,0426-42-7222,東京,192-0032,東京都八王子市石川町２９７３－４
02156-00,宇治産業㈱,0862-33-2323,,岡山,700-0901,岡山県岡山市本町９－１９　宇治産業ビル
02157-00,ウルイ商店,0745-82-2679,0745-82-7021,奈良,633-0202,奈良県宇陀市榛原区山辺三１４１
02158-00,有限会社サンユウプラスチック,054-255-6909,054-255-6910,静岡,420-0007,静岡県静岡市葵区柳町１５５－２
02158-01,サンユウプラスチック　西脇工場,054-287-7262,054-287-7275,静岡,422-8044,静岡県静岡市駿河区西脇４６６－１２
02160-00,パナソニック　フォト・ライティング㈱,072-682-7010,072-682-7963,大阪,569-1193,大阪府高槻市幸町１－１
02160-01,ﾊﾟﾅｿﾆｯｸ ﾌｫﾄ･ﾗｲﾃｨﾝｸﾞ㈱　長田野工場,0773-20-5695,0773-27-9457,京都,620-0853,京都府福知山市長田野町２－１７－１
02166-00,ウサミ化成,0586-68-3312,,愛知,491-0376,愛知県一宮市萩原町串作字南方２０８６－１
02167-00,植月節義　様,088-699-2817,,高知,771-0212,徳島県板野郡松茂町中喜来字中瀬堤外３－５
02168-00,㈱ウサミ精密,048-791-3732,,埼玉,339-0032,埼玉県さいたま市岩槻区大字南下新井字台ノ下１６５１－３
02171-00,㈱宇野化成,052-612-0009,052-612-0009,愛知,457-0068,愛知県名古屋市南区南野２丁目１８０番地　安田プラ工業内
02174-00,馬作化学工業㈱,06-6709-6618,,大阪,581-0052,大阪府八尾市竹渕４００
02175-00,宇城成型㈱,0964-22-4343,0964-22-5376,熊本,869-0403,熊本県宇土市新開町５４１
02176-00,臼田樹脂製作所,0276-31-0056,,群馬,373-0845,群馬県太田市泉町１４５４
02179-00,ウッドテック㈱,0776-67-6352,,福井,919-0504,福井県坂井市坂井町御油田４０－２０３
02180-00,内山工業㈱　第一工場,086-277-7134,086-277-7684,岡山,702-8004,岡山県岡山市江並３３８
02181-00,ウチヤマ化成㈱,086-957-4082,086-957-4146,岡山,701-2216,岡山県赤磐市多賀１２８
02182-00,潮物産㈱　帯広営業所,0155-25-4774,0155-24-6453,北海道,080-0019,北海道帯広市西９条南４丁目１３番地
02184-00,宇部テクノエンジ㈱＊,0276-40-2700,0276-22-7722,群馬,373-0014,群馬県太田市植木野町９７５－１
02185-00,ウイング,022-224-6885,022-224-6887,宮城,980-0014,宮城県仙台市青葉区本町２－６－１３　杉本家ビル２Ｆ
02187-00,羽後製作所,0187-72-2123,0187-72-4285,秋田,019-1702,秋田県大仙市北楢岡字北楢岡９５番地
02188-00,浦里技研,052-892-1684,052-892-1684,愛知,458-0847,愛知県名古屋市緑区浦里２－７４
02191-00,内田鉄工所,0465-74-2228,0465-74-9385,神奈川,250-0101,神奈川県南足柄市班目743
02192-00,上田化学工業株式会社,0744-42-6720,,奈良,633-0076,奈良県桜井市大泉４５４
02194-01,㈱馬越工業,0566-96-5072,0566-96-5073,愛知,446-0005,愛知県安城市宇頭茶屋町南裏３４－１
02196-00,宇部機械設計,0836-44-0334,0836-44-0331,山口,759-0204,山口県宇部市大字妻崎開作字開７－８の割１２８７－４０
02197-00,有限会社宇佐機器販売,0978-33-0808,0978-33-0165,大分,879-0467,大分県宇佐市大字山本111-2
02198-00,上田　政義様,079-594-0646,,兵庫,669-2105,兵庫県篠山市犬飼35
02199-00,馬野化学容器㈱　但馬センター,0796-53-2020,0796-53-2100,兵庫,668-0202,兵庫県豊岡市出石町口小野９７８
02199-01,馬野化学容器㈱　大阪本社,06-6453-1331,,奈良,553-0002,大阪府大阪市福島区鷺洲２丁目7番２号
02201-00,生形精機,0277-76-0568,0277-76-0574,群馬,379-2312,群馬県みどり市笠懸町久宮458-1
02204-00,ウエブテック　株式会社,03-5471-0568,,東京,140-0013,東京都品川区南大井3-15-5
02205-00,梅郷商事㈱,0471-24-5000,,千葉,278-0022,千葉県野田市山崎２０９８－８
02206-00,内子化成,0893-43-0288,0893-43-0289,愛媛,791-3301,愛媛県喜多郡内子町内子４２７１－１２
02207-00,㈱上田工業,0567-68-8200,0567-68-8338,愛知,498-0063,愛知県弥富市東末広六丁目３６番地
02208-00,㈱ウイング,04-7155-2421,04-7154-1239,千葉,270-0105,千葉県流山市平方１８５－７
02209-00,㈱内山精工,0538-38-4611,0538-38-4612,静岡,438-0005,静岡県磐田市匂坂上６３９番地
02212-00,株式会社　牛越製作所,0266-22-5875,0266-22-1037,長野,394-0091,長野県岡谷市4769-94
02213-00,㈱宇井精密製作所,0284-41-7631,0284-42-2201,栃木,326-0041,栃木県足利市助戸新山町１０８０
02214-00,株式会社植田電器製作所,03-3893-3376,03-3893-3378,東京,114-0012,東京都北区田端新町2-28-13
02217-00,臼井国際産業㈱　船原工場,0558-87-1900,0558-87-1901,静岡,410-3214,静岡県伊豆市下船原４７
02217-01,臼井国際産業㈱　浜松サテライト,053-438-0309,053-438-0620,静岡,433-8101,静岡県浜松市中央区三幸町５２２－１
02218-00,㈱宇佐美,0287-36-1181,0287-36-4024,栃木,329-2756,栃木県那須塩原市西三島１－１３５
02220-00,浦野機械設計事務所,029-801-4160,029-801-4162,茨城,300-4115,茨城県土浦市藤沢１２９７
02221-00,㈱ウイスト,0774-98-6767,0774-98-6768,京都,619-0237,京都府相楽郡精華町光台３－２－２６
02222-00,㈱馬印　小牧工場,0568-73-6071,0568-73-6815,愛知,485-0084,愛知県小牧市大字入鹿出新田７２５番地
02223-00,㈱植須登工機,0561-61-1070,0561-62-3201,愛知,480-1146,愛知県長久手市片平１丁目１６０３番地
02224-00,ウチダプラスチック,0778-65-0621,0778-65-0323,福井,916-1222,福井県鯖江市河和田町３－１１
02225-00,ウォルブロー㈱,0224-68-2512,0224-68-2889,宮城,981-1526,宮城県角田市神次郎字久城寺１
02226-00,ウイントレーディング㈱,048-950-6880,048-950-6882,埼玉,341-0012,埼玉県三郷市半田２６３
02227-00,ウォーマー　株式会社　本社工場,055-923-5111,055-923-5114,静岡,410-0873,静岡県沼津市大諏訪７８７
02228-00,㈱ウチダ,0568-34-0236,,愛知,486-0905,愛知県春日井市稲口町３－２－３
02229-00,有限会社　植木電気工事,090-3229-4933,046-869-4649,神奈川,237-0061,神奈川県横須賀市夏島町１番地　日産自動車追浜工場内　協力企業センター1F
02230-00,内山工業㈱,086-957-3439,086-957-3297,岡山,701-2221,岡山県赤磐市大苅田１１０６ー１１
02231-00,㈱上野精機長野,0266-43-3223,0266-43-3312,長野,399-0428,長野県上伊那郡辰野町伊那富９３４５
02232-00,㈱ウォーターワールド,0955-57-0633,0955-57-0733,鹿児島,899-4201,鹿児島県霧島市霧島田口２４５９―３３
02233-00,梅澤無線電機㈱,011-251-2992,011-281-4187,北海道,060-0062,北海道札幌市中央区南２条西７丁目２－３狸小路南向き
02235-00,植松設計,054-264-1388,054-264-1388,静岡,420-0911,静岡県静岡市葵区瀬名６－１１－５－１０２
02236-00,㈱ヴェルセ,0826-46-2888,,広島,739-1202,広島県安芸高田市向原町戸島２９１５
02238-00,ウツノミヤ㈱,0952-30-6121,,佐賀,849-0931,佐賀県佐賀市鍋島町蛎久１４６７―７
02239-00,㈱ヴイテックプロダクト,0564-85-2160,0564-85-2166,愛知,444-3449,愛知県岡崎市中伊西町字森下１１－１
02240-00,ウエストリバーサービス,076-431-7420,076-431-7421,富山,930-0992,富山県富山市新庄町２丁目６－８３
02241-00,内田化学有限会社,0587-57-5410,,愛知,483-8414,愛知県江南市小杁町一色１２７
02242-00,㈱ｳｪｰﾌﾞﾛｯｸ･ｱﾄﾞﾊﾞﾝｽﾄ･ﾃｸﾉﾛｼﾞｰ名古屋,052-503-3305,052-503-3304,愛知,452-0838,愛知県名古屋市西区長先町１０４
02245-00,㈱ウェルファムフーズ　宮城事業所,0225-73-2125,0225-73-3114,宮城,987-1103,宮城県石巻市北村字涌谷沢２－１
02246-00,内山　大地,080-7059-3456,,鹿児島,899-2202,鹿児島県日置市東市来町長里１５４－１
02247-00,宇治電化学工業㈱,088-832-6161,088-832-6164,高知,781-8010,高知県高知市桟橋通５－７－３４
02248-00,牛田機工商会,0772-43-0065,0772-43-0066,京都,629-2402,京都府与謝郡与謝野町算所５２８
02249-00,植田共栄株式会社,0859-28-8212,,鳥取,683-0102,鳥取県米子市和田町１２０２―３
02250-00,ウチフク機械,06-6310-2690,06-6310-2690,大阪,565-0821,大阪府吹田市山田東２丁目４９番１５号
02252-00,梅谷産業,072-957-2624,072-957-3459,大阪,583-0846,大阪府羽曳野市東阪田３４８－４
02253-00,㈱ウインテック静岡,054-631-6640,054-631-6649,静岡,425-0057,静岡県焼津市下小田803-1　
02254-00,株式会社渦潮化学,088-682-0333,088-682-0404,徳島,771-0377,徳島県鳴門市北灘町大須字西添１０番地
02255-00,宇賀神機械設計,0286-53-1446,0286-53-1446,栃木,321-0135,栃木県宇都宮市五代1-19-9
02256-00,蒲地宣明,080-3770-2369,,大阪,536-0002,大阪府大阪市城東区今福東3-15-22今福グリーンマンション1409
02257-00,ヴァリアス㈱,054-277-3550,,静岡,421-1221,静岡県静岡市葵区牧ケ谷2446
02258-00,コスモテック,0942-78-3200,,福岡,830-1104,福岡県久留米市北野町大城５５４－２１
02259-00,WILLBOX株式会社,045-263-9188,,神奈川,231-0023,神奈川県横浜市西区みなとみらい二丁目3番1号クイーンズタワーA 14階
02260-00,ウダカエンジニアリング㈱,0896-22-3441,,愛媛,799-0101,愛媛県四国中央市川之江町５７７番地
02261-00,(有)ウエルダー北沢,052-901-1373,,愛知,462-0062,愛知県名古屋市北区新沼町７４番地
02262-00,ウィル㈱,080-5214-2194,,福岡,811-4306,福岡県遠賀郡遠賀町旧停2-4-3
02263-00,㈱ウィング,080-6049-6337,,東京,104-0032,東京都中央区八丁堀4-5-11 KST第２ビル３Ｆ
02264-00,梅本工業所,0573-68-3002,,岐阜,509-9132,岐阜県中津川市茄子川151-29
02266-00,上春技研,080-9536-3928,,神奈川,214-0038,神奈川県川崎市多摩区生田6-25-13
02267-00,瓜生製作（株）,066-973-9441,,大阪,537-0003,大阪府大阪市東成区神路2丁目9-26
03002-00,㈱エヌ・ビー中根屋　本社,054-283-1651,054-284-8585,静岡,422-8585,静岡県静岡市駿河区有東二丁目２番２０号
03002-01,㈱エヌ・ビー中根屋　藤枝営業所,054-635-9365,054-635-9395,静岡,426-0046,静岡県藤枝市高洲１－１６－２０
03002-02,㈱エヌ・ビー中根屋　袋井営業所,0538-42-6128,0538-42-7928,静岡,437-0066,静岡県袋井市山科２５１３－１２
03002-04,㈱エヌ・ビー中根屋　静岡営業所,054-287-2313,054-286-7601,静岡,422-8585,静岡県静岡市駿河区有東二丁目２番２０号
03002-05,㈱エヌ・ビー中根屋　富士営業所,0545-53-6096,0545-53-1543,静岡,417-0057,静岡県富士市瓜島町１４９－１
03002-06,㈱エヌ・ビー中根屋　ＦＡＳ部,054-287-2313,054-286-7601,静岡,422-8585,静岡県静岡市駿河区有東２－２－２０
03003-00,絵馬化成,0587-23-0036,,愛知,492-8133,愛知県稲沢市治郎丸細道町５４
03004-00,㈱栄光化学,052-892-1216,,愛知,458-0801,愛知県名古屋市緑区鳴海町字天白１２
03004-01,㈱栄光化学　新工場,052-692-2688,,愛知,457-0000,愛知県名古屋市南区忠道町３－９５
03005-00,㈱エース,03-3790-5500,03-3790-5560,東京,143-0002,東京都大田区城南島２－５－１
03006-00,エヌエス化成㈱,0492-97-4511,0492-97-4514,埼玉,350-0166,埼玉県比企郡川島町戸守４７７
03006-01,エヌエス化成㈱,0463-54-4961,,神奈川,254-0014,神奈川県平塚市四之宮１０９６
03006-04,エヌエス化成㈱,03-3437-6381,,東京,105-0013,東京都港区浜松町１－９－１２ 中野ビル
03007-00,栄和産業㈱,03-3765-3801,,東京,140-0013,東京都品川区南大井６－１７－７（正栄プラザビル４０４）
03009-00,栄興産業㈱,0272-52-1266,0272-51-5786,群馬,371-0845,群馬県前橋市鳥羽町８１６
03010-01,㈱エンテック,0256-63-3515,0256-64-4530,新潟,959-1287,新潟県燕市大関３７５－１
03011-00,エビサワ製作所,03-3678-5252,,千葉,272-0004,千葉県市川市原木３－１８－２
03012-00,㈱エコー,046-242-1123,046-241-8621,神奈川,243-0211,神奈川県厚木市三田３０００
03012-01,㈱エコー　福岡工場,0947-28-5353,0947-28-6300,福岡,822-1101,福岡県田川郡福智町赤池４７４－１１８
03012-02,㈱エコー　滋賀工場,0748-43-0226,0748-43-1388,滋賀,529-1608,滋賀県蒲生郡日野町大谷東山４８０－３
03012-03,㈱エコー　福島工場,0243-24-5241,0243-24-5243,福島,969-1301,福島県安達郡大玉村大山字向原３６番１４
03013-00,エスエス電工㈱,0485-56-6396,,埼玉,361-0078,埼玉県行田市中央町１７－１０
03014-00,江戸川産業㈱,0256-34-2251,0256-35-6884,新潟,955-0041,新潟県三条市三竹１－１３－３
03015-00,㈱エムジー,022-856-3881,,宮城,981-0100,宮城県宮城郡利府町新三野原７４－２
03015-01,㈱エムジー　山形工場,0238-42-4101,0238-42-6016,山形,999-0122,山形県東置賜郡川西町大字中小松字本波２１４６
03015-02,㈱エムジー　本社工場,022-356-5571,022-356-5508,宮城,981-0134,宮城県宮城郡利府町しらかし台６－１－８
03015-04,㈱エムジー　仙台第三工場,022-356-4581,022-356-6514,宮城,981-0134,宮城県宮城郡利府町しらかし台６－５－６
03015-05,㈱エムジーいわき工場,0246-44-4075,0246-44-5980,福島,972-8312,福島県いわき市常盤下船尾町杭出作常盤鹿島工業団地１－２－１
03015-06,㈱エムジーテックス　金型工場,022-349-1643,022-349-1658,宮城,981-0134,宮城県宮城郡利府町しらかし台６－１－８
03016-00,永興プラスチック工業㈱,0268-27-4353,,長野,386-0025,長野県上田市天神３－１０－３１
03017-00,㈱エフエヌ,0465-81-1106,0465-81-1847,神奈川,259-0141,神奈川県足柄上郡中井町遠藤３０１
03019-00,エレナプラスチック,046-221-3231,,神奈川,243-0031,神奈川県厚木市戸室１１１１
03020-00,海老原一郎,0297-82-2350,,茨城,300-2333,茨城県つくばみらい市下平柳
03024-00,㈱エビハラ工芸,0296-77-0615,,茨城,309-1600,茨城県笠間市鯉
03025-00,エビサワ製作所,03-3678-5252,,東京,132-0000,東京都江戸川区南
03027-00,映光工業,0537-72-3981,0537-72-2897,静岡,437-1438,静岡県掛川市国安字一本松２４ー２９大東工業団地内
03028-00,江口昭機械,03-3970-9800,,東京,164-0031,東京都中野区上鷺宮２－１３－１２
03029-00,江崎プラスチック工業㈱,0581-53-2161,0581-53-2160,岐阜,501-2254,岐阜県山県市出戸１４９－１
03030-00,㈱エンプラ,0267-67-2371,0267-67-4646,長野,385-0012,長野県佐久市根々井１５ー５
03031-00,栄進トレード㈱,0426-51-2729,,東京,192-0154,東京都八王子市下恩方町４０８
03033-00,㈱エビス,0256-92-5133,0256-92-6824,新潟,959-0202,新潟県燕市佐渡山７２９７
03033-01,㈱エビス　杣木工場,0256-47-6211,,新潟,959-1284,新潟県燕市杣木字小成３４０１
03034-00,㈱エクセル化成,078-732-1276,,兵庫,654-0028,兵庫県神戸市須磨区常盤町１－１－５
03035-00,㈱エイブプラスチックス,0565-28-1454,0565-29-2109,愛知,470-1202,愛知県豊田市渡刈町３丁目２８
03036-00,栄光プラスチック,0537-35-2535,0537-36-4969,静岡,439-0031,静岡県菊川市加茂３８８６－１
03037-00,栄徳化成,05696-3-0059,,愛知,470-3503,愛知県知多郡南知多町師崎丸山２６－３１
03038-00,㈱エフ・シー・シー,053-461-6181,053-465-4857,静岡,430-0807,静岡県浜松市中央区佐藤１丁目４３－１
03038-01,㈱エフ・シー・シー天竜工場,0538-59-2766,0538-59-2767,静岡,438-0202,静岡県磐田市高木字村西１５５０番地の１
03040-00,江口商事㈱,03-3341-6155,,東京,160-0016,東京都新宿区信濃町３３
03041-00,遠藤機械工業㈱,03-3632-6511,,東京,130-0024,東京都墨田区菊川３－１８－１
03042-00,江戸新鍍金工業所,059448-3131,,三重,511-0102,三重県桑名市多度町香取１２
03043-00,江川プラスチック,0581-52-1066,0581-52-1406,岐阜,501-2259,岐阜県山県市美山町岩佐２６４
03044-00,㈱エイト産業,03-3736-1871,03-3736-1873,東京,144-0053,東京都大田区蒲田本町１－９－１１エイトビル
03046-00,江義樹脂,0581-53-2431,0581-53-2567,岐阜,501-2254,岐阜県山県市出戸１７７－３
03047-00,遠州化成,053-433-0912,,静岡,435-0056,静岡県浜松市中央区小池町２３５
03048-00,大成化工,0587-95-1823,0587-95-1823,愛知,480-0100,愛知県丹羽郡大口町竹田３丁目３９６
03049-00,遠菱アルミホイール㈱,0538-34-4325,0538-32-9266,静岡,438-8543,静岡県磐田市上岡田４３９－５
03052-00,栄和化成工業㈱,052-736-4545,052-736-4546,愛知,463-0019,愛知県名古屋市守山区東禅寺４０１番地
03052-00,栄和化成工業㈱,052-736-4545,,愛知,463-0019,愛知県名古屋市守山区東禅寺４０１番地
03053-00,エイジ化成工業所株式会社,0729-91-5012,0729-93-2889,大阪,581-0813,大阪府八尾市泉町１－５３－１
03054-00,永昌化学,06-6795-5507,06-6795-5517,大阪,547-0001,大阪府大阪市平野区加美北５－２－２５
03055-00,永和化成工業㈱　宇治田原工場,07748-8-4535,,京都,610-0261,京都府綴喜郡宇治田原町岩山小字辻堂21-7宇治田原工業団地内
03057-00,エフワイ成型㈱,052-801-8241,,愛知,468-0021,愛知県名古屋市天白区天白町大字平針字黒石２８７８
03057-01,エフワイ成型㈱,0562-95-1216,0562-95-1218,愛知,470-1101,愛知県豊明市沓掛町岩金３６－１
03058-01,エムシー機器販売㈱,06-6998-6786,06-6998-4551,大阪,570-0032,大阪府守口市菊水通２－１９－１
03064-00,パナソニックスイッチギアシステムズ㈱,0561-54-3511,0561-53-4611,愛知,488-8520,愛知県尾張旭市三郷町角田１１２３番地
03064-00,パナソニックスイッチギアシステムズ㈱,0561-54-7972,0561-53-4611,愛知,488-8520,愛知県尾張旭市三郷町角田１１２３番地
03064-00,パナソニックスイッチギアシステムズ㈱,0561-54-7972,0561-53-4611,愛知,488-8520,愛知県尾張旭市三郷町角田１１２３番地
03064-00,パナソニックスイッチギアシステムズ㈱,0561-54-3522,0561-53-4611,愛知,488-8520,愛知県尾張旭市三郷町角田１１２３番地
03064-00,パナソニックスイッチギアシステムズ㈱,0561-54-7972,0561-53-4611,愛知,488-8520,愛知県尾張旭市三郷町角田１１２３番地
03064-00,パナソニックスイッチギアシステムズ㈱,0561-54-7972,0561-53-4611,愛知,488-8520,愛知県尾張旭市三郷町角田１１２３番地
03064-00,パナソニックスイッチギアシステムズ㈱,0561-54-7972,0561-53-4611,愛知,488-8520,愛知県尾張旭市三郷町角田１１２３番地
03064-00,パナソニックスイッチギアシステムズ㈱,0561-54-7972,,愛知,488-8520,愛知県尾張旭市三郷町角田１１２３番地
03064-00,パナソニックスイッチギアシステムズ㈱,0561-54-7972,,愛知,488-8520,愛知県尾張旭市三郷町角田１１２３番地
03064-00,パナソニックスイッチギアシステムズ㈱,0561-54-7972,,愛知,488-8520,愛知県尾張旭市三郷町角田１１２３番地
03064-00,パナソニックスイッチギアシステムズ㈱,0561-54-3516,,愛知,488-8520,愛知県尾張旭市三郷町角田１１２３番地
03064-00,パナソニックスイッチギアシステムズ㈱,0561-54-3516,,愛知,488-8520,愛知県尾張旭市三郷町角田１１２３番地
03064-00,パナソニックスイッチギアシステムズ㈱,0561-54-3516,,愛知,488-8520,愛知県尾張旭市三郷町角田１１２３番地
03066-00,㈱榎本化成工業所,052-301-2277,,愛知,454-0995,愛知県名古屋市中川区富田町伏屋字郷１７４２
03067-00,エムシー化成㈱,046-269-5810,046-269-9297,神奈川,242-0025,神奈川県大和市代官１－２－３
03068-00,㈱エイワ機工,05994-5-2025,,三重,517-0503,三重県志摩市阿児町立神２６４０
03069-00,㈱英研,045-545-8398,045-545-8962,神奈川,223-0063,神奈川県横浜市港北区高田町１５１４－２７
03074-00,㈱栄光化学工業所,078-991-2255,078-991-1368,兵庫,651-2271,兵庫県神戸市西区高塚台３－１－１９
03076-00,（有）ＷＩＮ,06-6716-8089,06-6716-1475,大阪,544-0025,大阪府大阪市生野区生野東１－１３－７
03077-00,戎屋化学工業株式会社,0729-94-7131,0729-94-8153,大阪,581-0064,大阪府八尾市跡部本町１－４－４７
03077-02,戎屋化学工業株式会社　鳥取工場,0858-58-6085,0858-58-6086,鳥取,689-3135,鳥取県西伯郡大山町殿河内７５６－２５
03077-06,戎屋化学工業株式会社　久宝寺工場,072-968-8600,072-968-8601,大阪,581-0068,大阪府八尾市跡部北の町３－３－３
03078-00,㈱遠藤プラスチック,0868-74-3161,0868-74-2515,岡山,701-2601,岡山県美作市尾谷２２７８
03079-00,遠藤化成工業所,0868-74-2222,,岡山,701-2601,岡山県美作市尾谷７６０－１
03080-00,永晃産業,0583-84-3070,0583-84-3292,岐阜,509-0135,岐阜県各務原市鵜沼羽場町１２
03082-00,ＮＯＫ㈱,0466-36-1111,0466-34-2789,神奈川,251-0042,神奈川県藤沢市辻堂新町４－３－１
03082-01,ＮＯＫ㈱　二本松事業部,0243-22-0281,,福島,964-0811,福島県二本松市宮戸３０
